100 10000
0 57 97
20 54 9
1 9 12
8 60 34
31 34 83
32 36 59
17 19 1
16 99 10
45 64 8
7 33 16
28 32 53
28 94 50
71 95 45
60 98 62
21 37 51
37 54 66
16 27 20
3 74 94
67 85 90
25 75 34
23 93 15
46 98 37
11 61 11
2 79 39
22 52 61
46 72 99
81 94 56
27 66 33
3 93 41
45 52 40
33 67 79
78 92 19
16 45 44
20 40 54
22 58 55
60 61 51
39 49 27
3 34 20
11 28 37
36 91 97
50 89 63
10 93 4
67 74 62
11 70 27
14 46 26
80 98 83
72 78 37
43 45 40
45 74 63
55 62 35
27 86 53
34 90 5
1 55 46
45 96 12
4 81 82
15 37 85
5 11 29
13 40 96
17 45 25
7 53 93
15 24 83
24 94 28
13 48 5
52 57 80
4 74 4
38 81 43
51 75 40
42 81 33
65 99 2
47 84 45
62 83 23
3 51 67
1 42 67
47 53 86
2 86 95
18 95 83
41 70 99
12 71 79
30 38 29
65 71 96
3 35 81
26 48 66
44 88 73
73 94 32
63 80 81
4 89 9
11 87 64
49 83 99
6 9 58
29 50 36
9 59 39
70 76 45
1 88 11
61 77 68
50 97 100
42 56 34
22 69 60
68 81 17
38 82 88
46 72 77
45 52 31
4 89 40
16 45 42
28 94 35
45 52 84
10 93 74
1 55 16
73 94 73
38 81 71
42 56 24
68 81 12
26 48 72
26 48 33
61 77 35
11 61 62
73 94 90
2 86 10
22 58 81
45 52 61
71 95 57
7 33 25
71 95 79
1 55 99
38 81 18
16 45 5
4 89 47
26 48 95
38 81 48
38 81 97
52 57 94
67 74 62
1 42 75
27 66 4
39 49 79
45 74 22
67 74 88
11 61 63
7 33 98
27 66 28
2 86 89
13 40 52
27 66 71
7 33 16
11 61 47
60 98 31
73 94 31
0 57 19
68 81 84
23 93 56
11 61 84
22 58 53
68 81 72
73 94 84
7 53 6
60 98 49
20 54 3
0 57 1
16 99 87
45 52 58
63 80 8
23 93 94
34 90 88
46 72 75
20 54 46
33 67 76
15 24 11
6 9 47
16 99 24
28 94 79
18 95 24
31 34 24
27 86 40
4 81 12
28 94 4
3 93 43
25 75 77
46 72 40
17 45 60
23 93 29
0 57 41
47 53 50
11 28 62
0 57 76
1 42 26
16 45 19
1 88 100
27 86 56
4 74 73
70 76 3
73 94 50
0 57 73
27 86 1
0 57 7
4 81 27
27 86 79
23 93 50
1 9 10
0 57 11
0 57 30
23 93 58
7 33 17
3 93 63
45 52 28
62 83 53
18 95 52
37 54 18
28 32 83
0 57 81
17 19 91
28 32 76
4 89 76
27 66 90
31 34 9
73 94 95
11 28 46
1 9 36
11 61 33
38 81 29
70 76 81
45 52 35
17 45 35
20 54 9
3 93 80
4 81 27
21 37 53
4 89 78
45 74 70
23 93 92
6 9 7
1 9 13
23 93 13
4 81 41
0 57 72
1 9 83
10 93 7
31 34 81
27 86 96
18 95 70
7 53 74
2 86 61
47 53 8
1 9 75
20 54 59
38 81 58
25 75 22
26 48 54
33 67 40
39 49 50
67 85 38
73 94 58
3 93 92
73 94 2
45 52 76
38 81 31
23 93 32
16 45 34
73 94 91
0 57 17
11 87 79
73 94 4
50 89 23
11 87 99
7 33 14
38 81 87
23 93 45
27 66 73
39 49 94
1 55 100
3 74 61
73 94 57
42 81 11
2 86 44
68 81 84
0 57 67
27 66 55
7 53 82
2 86 59
73 94 64
23 93 69
20 54 57
42 56 31
52 57 94
13 40 68
47 53 57
68 81 16
17 45 66
43 45 99
28 94 2
27 86 2
20 54 88
