100 1000
25 80 50
50 91 26
44 82 86
59 97 58
59 84 82
34 72 22
93 95 67
30 62 42
65 92 38
58 79 68
26 32 15
86 88 21
0 54 40
15 18 21
18 27 20
1 40 75
26 82 63
69 70 93
39 71 40
19 24 10
38 73 79
5 6 3
8 74 11
48 58 71
7 49 10
76 78 74
51 68 12
20 34 40
27 93 80
29 61 27
28 71 44
8 54 56
5 23 62
10 62 17
3 50 38
1 20 58
47 55 49
34 45 77
3 87 84
46 92 88
50 65 1
70 96 90
65 77 67
29 78 80
4 47 69
10 61 32
34 36 45
26 41 85
8 35 53
54 77 30
1 73 91
14 18 81
39 84 91
14 38 22
59 66 67
88 90 2
41 58 56
13 96 70
21 60 56
21 76 48
11 66 50
19 20 24
67 94 65
7 35 78
61 79 75
0 30 41
43 74 65
21 99 45
18 41 81
34 98 76
40 83 43
74 96 54
87 99 38
96 97 51
76 93 51
33 99 90
69 96 44
1 71 60
78 79 41
1 44 40
0 65 58
30 41 34
88 93 46
74 88 60
11 12 45
12 50 14
5 97 27
9 37 20
11 26 69
6 18 93
40 45 5
30 50 48
8 27 60
25 40 95
43 95 7
35 83 59
18 24 57
74 86 47
18 20 1
20 62 68
34 65 39
15 67 26
27 71 89
62 64 47
23 94 89
63 75 2
41 57 78
34 40 6
0 77 2
3 47 37
38 81 21
18 31 68
31 81 46
31 46 62
10 69 69
15 77 85
19 72 43
42 65 19
86 95 87
12 71 35
11 79 62
91 97 49
10 22 78
13 39 21
15 94 26
12 29 2
52 86 86
30 32 99
87 91 72
69 99 2
94 98 84
43 91 37
62 97 94
22 97 92
55 91 10
26 85 85
17 52 85
48 82 75
41 79 19
5 36 60
15 43 22
22 57 46
34 48 41
26 99 33
30 57 4
40 50 97
45 46 25
25 98 59
4 56 84
14 89 7
2 58 100
25 32 20
23 83 23
26 64 24
61 65 81
39 41 90
29 95 41
20 91 43
6 11 87
48 71 45
90 97 59
22 49 34
33 37 8
19 33 76
0 63 18
11 71 62
63 74 48
11 77 38
41 75 60
25 28 86
38 88 56
47 72 65
30 43 64
15 24 7
48 99 24
39 42 91
37 60 25
36 88 51
15 70 68
25 52 39
73 78 92
40 43 96
28 77 66
58 99 99
25 83 72
4 29 44
21 47 21
39 73 4
3 23 24
32 75 34
82 87 57
13 85 23
27 86 43
9 40 87
60 96 15
78 83 80
21 38 4
41 51 15
93 96 26
4 15 48
3 72 84
36 77 92
3 60 40
70 72 97
66 84 36
48 66 82
13 51 83
71 80 93
54 70 41
42 50 72
31 66 11
38 45 95
4 69 96
44 55 22
15 21 4
26 55 100
16 79 88
21 79 68
1 18 54
13 45 94
3 42 27
49 83 96
61 96 89
1 95 31
79 98 96
28 58 33
2 98 84
33 76 89
74 80 38
5 43 52
60 76 70
1 6 65
68 79 13
12 65 91
28 61 23
33 39 67
54 85 95
38 40 65
63 85 33
15 17 97
22 77 76
86 96 88
5 88 78
21 48 23
53 73 11
43 92 99
76 86 11
40 47 11
53 88 40
31 76 60
87 93 71
0 73 57
36 49 70
46 52 77
9 64 91
10 71 55
63 72 46
9 31 68
4 45 42
25 51 8
27 74 67
42 82 37
24 49 32
38 50 99
41 66 37
65 91 29
19 29 56
18 64 27
2 12 76
14 22 68
87 96 15
3 90 13
18 78 50
14 28 67
5 24 1
39 91 38
15 59 89
59 77 61
6 46 66
1 17 59
36 87 96
57 60 21
37 51 10
26 87 3
58 86 78
42 74 81
63 73 46
20 97 85
63 89 60
1 43 41
4 91 47
8 26 80
57 58 24
9 55 65
12 39 53
46 49 88
6 99 26
58 59 25
48 64 69
18 40 69
44 85 84
41 46 1
55 75 56
31 73 30
54 59 30
57 98 34
2 5 93
24 96 80
81 86 75
25 92 20
10 64 30
47 84 26
45 47 20
64 74 49
37 58 6
50 88 83
4 26 94
20 26 47
23 89 58
8 99 58
9 39 52
3 14 90
29 99 10
50 82 9
18 58 31
30 51 81
9 99 53
6 9 57
9 68 73
14 44 83
0 3 57
24 79 90
39 57 93
3 89 2
34 99 37
48 52 8
7 61 9
19 22 20
75 86 4
90 92 30
44 92 12
13 88 1
30 34 42
0 60 35
7 48 19
92 99 6
83 91 19
56 95 38
73 99 98
13 77 36
23 82 24
2 89 7
10 11 4
12 54 57
11 53 63
8 62 4
46 50 23
26 90 64
30 66 95
31 75 74
19 43 46
14 20 59
2 67 92
37 41 70
9 16 45
27 33 63
68 84 5
25 82 47
32 99 23
92 97 41
85 87 79
88 98 59
73 93 36
24 55 64
11 82 27
57 67 85
65 67 6
79 88 2
32 39 57
32 82 14
32 94 55
46 68 91
31 56 4
19 94 74
6 19 53
15 41 33
11 50 14
61 64 56
0 10 92
37 54 92
65 70 56
32 86 27
5 33 81
84 98 10
41 67 14
13 25 99
6 7 95
23 37 29
9 15 33
56 92 43
3 64 72
11 85 1
60 83 30
4 6 67
50 85 43
48 80 89
18 73 13
84 88 53
31 37 73
59 75 59
18 28 8
74 85 19
6 91 19
7 88 33
79 85 73
50 98 84
13 90 14
20 46 22
25 45 38
57 91 34
2 61 2
33 74 99
4 57 19
75 89 39
51 59 29
71 96 58
36 57 31
85 90 36
60 90 80
8 94 44
53 90 28
24 26 8
79 82 68
16 74 20
81 91 50
42 55 15
10 36 46
55 81 39
14 72 39
42 70 96
63 79 80
12 97 80
26 51 84
22 83 20
86 89 9
35 57 22
63 82 56
14 47 92
15 81 89
7 75 8
46 91 69
45 88 29
58 72 90
53 60 41
56 59 84
2 3 84
32 58 11
14 16 33
2 52 91
18 44 54
1 60 58
35 75 80
63 65 51
28 95 26
80 91 70
27 45 6
46 87 81
12 23 11
10 34 16
15 97 75
25 86 89
52 74 12
15 31 7
54 65 22
66 82 77
23 79 53
26 40 86
31 35 37
0 19 52
41 45 36
34 74 40
32 77 56
36 53 6
34 50 2
20 59 11
58 84 27
37 65 49
14 79 37
49 88 51
31 63 26
17 81 34
43 49 59
51 57 39
45 57 44
27 95 10
21 32 73
22 85 39
49 61 76
1 45 85
19 64 61
32 72 57
32 50 5
16 95 4
33 59 54
40 97 69
7 74 35
3 68 59
80 81 71
41 97 72
35 42 7
36 55 46
11 98 3
59 87 32
52 54 48
4 81 93
26 93 88
21 65 37
35 62 41
4 58 99
21 69 69
6 94 41
28 44 17
30 54 4
39 45 27
57 65 87
7 71 45
35 55 72
30 33 20
56 76 31
34 60 84
3 29 8
45 67 44
20 50 25
86 97 80
20 49 32
37 80 18
22 67 84
18 59 5
47 81 10
46 85 33
49 65 9
25 31 80
30 92 53
29 66 4
5 28 92
41 89 70
9 80 50
40 54 7
49 90 53
13 74 23
21 64 17
7 84 58
91 95 77
42 64 42
30 98 85
28 86 72
77 90 96
18 81 27
71 72 73
23 40 69
46 61 69
29 89 52
41 74 68
77 99 45
29 64 9
10 38 93
57 92 88
49 56 8
29 70 69
23 56 54
29 68 26
28 75 19
53 80 52
7 17 43
44 71 54
0 56 85
24 43 90
20 68 33
5 70 33
7 63 64
14 97 94
45 70 72
82 97 73
58 77 10
30 90 6
5 46 49
64 90 6
5 68 65
10 32 60
41 83 41
63 83 14
40 90 2
17 61 7
38 63 55
27 53 19
10 73 66
20 73 24
59 90 3
76 92 76
1 28 39
20 25 95
29 75 60
58 88 20
84 85 2
8 13 10
38 65 6
49 50 56
6 92 68
11 28 88
24 32 81
30 71 98
67 81 82
49 98 84
30 72 29
23 28 59
1 48 54
53 99 89
43 66 99
18 45 25
24 82 23
67 71 46
35 77 64
33 44 19
15 37 13
64 82 7
45 83 97
26 88 79
22 46 86
24 71 14
56 68 71
55 93 61
87 94 33
52 73 89
17 85 70
77 96 50
26 46 2
46 99 85
18 94 10
69 88 8
29 72 35
15 23 63
8 30 2
3 77 29
64 65 6
36 89 68
2 92 33
59 63 64
19 89 74
45 87 30
10 58 30
22 45 71
88 94 92
44 53 71
16 19 51
39 88 71
45 50 8
56 60 10
58 76 6
34 46 18
3 10 62
21 49 64
29 83 69
34 81 35
26 45 69
17 60 18
29 90 77
21 68 73
21 95 21
24 60 76
22 87 18
51 83 29
23 29 56
16 23 35
42 56 100
16 21 38
27 94 83
5 7 48
27 30 81
1 19 95
63 78 18
46 77 89
50 53 52
78 82 12
56 82 64
14 46 93
0 89 20
0 49 39
0 44 48
34 64 88
54 81 75
1 46 74
65 78 21
48 74 69
25 50 1
6 88 9
14 99 94
43 97 35
